kml,distance,centroid_long,centroid_lat
kml_110,0.030486928,114.2126107,22.47261545
kml_111,0.062814545,114.214481,22.47370227
kml_112,0.148347153,114.1430961,22.48499607
kml_113,0.496790643,114.1420047,22.4861249
kml_114,0.144467405,114.1452061,22.48536233
kml_115,0.027878427,114.1467282,22.48680554
kml_116,0.144375865,114.1463678,22.48920375
kml_117,0.271684501,114.139683,22.48999643
kml_118,0.499191579,114.1445832,22.4878431
kml_119,0.238387081,114.1415643,22.48824085
kml_120,0.014134245,114.1422045,22.48866041
kml_121,0.009384676,114.1422634,22.48871496
kml_122,0.34417863,114.141081,22.48945331
kml_123,0.123093574,114.1422177,22.49047003
kml_124,0.112021664,114.13367,22.49071548
kml_125,0.161445963,114.1391441,22.49094204
kml_126,0.216494924,114.1459104,22.49093726
kml_127,0.082053959,114.1398414,22.4913108
kml_128,0.20849851,114.1405733,22.49148806
kml_129,0.212707244,114.1351114,22.49232929
kml_130,0.0809882,114.1386998,22.49228859
kml_131,0.005093472,114.1450738,22.49267837
kml_132,0.067446821,114.1452464,22.49295571
kml_133,0.091970855,114.1390102,22.49320318
kml_134,0.075651062,114.1360346,22.49314633
kml_135,0.080635393,114.1366787,22.49305978
kml_136,0.043347536,114.1246795,22.4936565
kml_137,0.354824703,114.145901,22.49453189
kml_138,0.049365605,114.1246804,22.49413594
kml_139,0.283877799,114.1432055,22.49363051
kml_140,0.029874993,114.1419145,22.49434417
kml_141,0.195770848,114.1254389,22.49432068
kml_142,0.065766058,114.1271612,22.49447248
kml_143,0.05961452,114.1277885,22.49476225
kml_144,0.393166353,114.1335192,22.4938433
kml_145,0.114231094,114.1336178,22.49491844
kml_146,0.07503575,114.137916,22.49457298
kml_147,0.080741031,114.1242827,22.49483881
kml_148,0.047696516,114.1375213,22.4949506
kml_149,0.274285291,114.1353902,22.49421187
kml_150,0.031227685,114.1281052,22.49507998
kml_151,0.022215159,114.1283247,22.495381
kml_152,0.042312876,114.1341591,22.49529957
kml_153,0.20671335,114.1332496,22.49596428
kml_154,0.087505933,114.1418446,22.49590005
kml_155,0.334003823,114.1232078,22.49618203
kml_156,0.174863335,114.1253026,22.49616529
kml_157,0.021888279,114.1285069,22.49563192
kml_158,0.188690329,114.1464247,22.49638372
kml_159,0.06444121,114.1397341,22.49595508
kml_160,0.04306425,114.1393165,22.49642223
kml_161,0.295187158,114.1285142,22.49648428
kml_162,0.044629649,114.1323884,22.49633808
kml_163,0.175440021,114.1315553,22.49678174
kml_164,0.250430404,114.1304969,22.49603026
kml_165,0.058311749,114.1447651,22.49653004
kml_166,0.020903546,114.144396,22.49683544
kml_167,0.031693695,114.1441362,22.49707665
kml_168,0.102483401,114.130347,22.49743723
kml_169,0.102478109,114.1416398,22.49680975
kml_170,0.121338018,114.1409879,22.49797224
kml_171,0.079815163,114.1229563,22.49779152
kml_172,0.055714778,114.1299242,22.49759451
kml_173,0.3353997,114.1285805,22.49840062
kml_174,0.160285146,114.138874,22.49707991
kml_175,0.071485978,114.1380422,22.49819028
kml_176,0.512102604,114.1896683,22.45220061
kml_177,9.50416E-05,114.1901539,22.45218128
kml_178,0.560807578,114.1835301,22.45269666
kml_179,0.056712421,114.1612293,22.45305967
kml_180,0.165229804,114.165615,22.45233019
kml_181,0.112363115,114.1659874,22.45342878
kml_182,0.09195363,114.1589347,22.45278328
kml_183,0.039773698,114.1590424,22.45323916
kml_184,0.002816185,114.1614992,22.45328077
kml_185,0.271567386,114.1600096,22.45349291
kml_186,0.206082465,114.1726629,22.45278401
kml_187,0.013896253,114.1623353,22.45346514
kml_188,0.099646829,114.1619871,22.45335269
kml_189,0.067410829,114.1625307,22.45380981
kml_190,0.116187452,114.1632336,22.45429663
kml_191,0.085366531,114.1661978,22.45456185
kml_192,0.010152077,114.1637312,22.45451134
kml_193,0.213529014,114.1646376,22.45499951
kml_194,0.020598582,114.175251,22.45459801
kml_195,0.003636508,114.1752145,22.4546788
kml_196,0.087368565,114.1752436,22.4550926
kml_197,0.04019653,114.174988,22.45474501
kml_198,0.055042434,114.1661702,22.45512
kml_199,0.021347742,114.17747,22.45530247
kml_200,0.26886259,114.1777429,22.45427565
kml_201,0.055776243,114.1774752,22.45559414
kml_202,0.038866743,114.1749797,22.45535541
kml_203,0.003017479,114.1750012,22.45546012
kml_204,0.004719658,114.1752117,22.45545933
kml_205,0.224851891,114.1759363,22.45597813
kml_206,0.200837549,114.1741,22.45559363
kml_207,0.017724857,114.1722831,22.45556028
kml_208,0.024189748,114.165702,22.45556609
kml_209,0.080345931,114.1663552,22.45523331
kml_210,0.005684253,114.1722897,22.45565508
kml_211,0.073023765,114.1724896,22.45569802
kml_212,0.246968623,114.1707665,22.45609894
kml_213,0.376051549,114.1751216,22.45602022
kml_214,0.12834628,114.1785023,22.45649151
kml_215,0.043470378,114.1716044,22.4561185
kml_216,0.020291781,114.1712523,22.45614171
kml_217,0.148845944,114.1701815,22.45656773
kml_218,0.142724683,114.1720469,22.45681694
kml_219,0.020771982,114.1670467,22.45636198
kml_220,0.024587147,114.1673207,22.45653707
kml_221,0.165553141,114.1777677,22.45737088
kml_222,0.054876738,114.1767624,22.45683507
kml_223,0.106866028,114.1775904,22.45814282
kml_224,0.1987995,114.1773009,22.45051586
kml_225,0.013562679,114.1652917,22.45119492
kml_226,0.084215969,114.1650162,22.45097829
kml_227,0.00672449,114.1652247,22.45122873
kml_228,0.560065735,114.1802822,22.45025478
kml_229,0.141659522,114.1921199,22.45158862
kml_230,0.067163359,114.1645364,22.4515871
kml_231,0.182411945,114.163185,22.45209204
kml_232,0.266316574,114.2471559,22.42978731
kml_233,0.525442805,114.2515084,22.43054838
kml_234,0.633737254,114.2062722,22.42809745
kml_235,0.136579907,114.2081229,22.43035191
kml_236,0.197821204,114.2039497,22.43084858
kml_237,0.031726893,114.203016,22.43004814
kml_238,0.162316833,114.2069839,22.43034036
kml_239,0.137929958,114.2056136,22.4303515
kml_240,0.214296787,114.2030913,22.43091848
kml_241,0.30317519,114.2539798,22.43088174
kml_242,0.241393337,114.2015957,22.4318034
kml_243,0.055400173,114.2047708,22.43089177
kml_244,0.032180353,114.2043837,22.43120514
kml_245,0.190923819,114.2039122,22.43167528
kml_246,0.219208008,114.2048944,22.4319488
kml_247,0.132259476,114.2032731,22.43316757
kml_248,0.243702202,114.2040647,22.4332273
kml_249,0.252858556,114.2025031,22.43436008
kml_250,0.24472793,114.2012177,22.43370611
kml_251,2.969574175,114.1908369,22.43957128
kml_252,0.26489232,114.1644947,22.43914383
kml_253,0.310594684,114.1655634,22.44184235
kml_254,0.352655584,114.1668519,22.44086788
kml_255,0.101090963,114.1683479,22.44183551
kml_256,0.311972697,114.1675405,22.4432327
kml_257,0.013123007,114.1715287,22.44418826
kml_258,0.003066474,114.1715306,22.44424172
kml_259,0.257709905,114.1717785,22.44517657
kml_260,0.39211207,114.1770881,22.44723928
kml_261,0.013322792,114.1718809,22.44656713
kml_262,0.167769943,114.1733373,22.4467148
kml_263,0.056967789,114.1707839,22.44704443
kml_264,0.041987017,114.1722625,22.44717198
kml_265,0.066976652,114.1721638,22.44817655
kml_266,0.054221739,114.1728871,22.4484891
kml_267,0.198061594,114.1720912,22.45014906
kml_268,0.18878971,114.17615,22.44986504
kml_269,0.099536193,114.1648301,22.45007667
kml_270,0.050233868,114.1754479,22.45051956
kml_271,0.108209805,114.1641031,22.4502945
kml_272,0.102159705,114.174964,22.44972246
kml_273,0.041968835,114.1756626,22.45070951
kml_274,0.011201196,114.1646857,22.45059806
kml_275,0.121809449,114.1672432,22.45085312
kml_276,0.006190123,114.1675821,22.45089096
kml_277,0.437856894,114.1695471,22.45086451
kml_278,0.238196343,114.174141,22.45069988
kml_279,0.081129686,114.0011905,22.26551309
kml_280,0.259874304,113.9996857,22.26632458
kml_281,0.023919171,113.9982793,22.26674053
kml_282,0.281465078,113.9338393,22.27723517
kml_283,0.610754746,113.9386999,22.27915846
kml_284,0.171205915,113.9325137,22.2788271
kml_285,0.149196289,113.9350322,22.27933072
kml_286,0.216872929,113.9372509,22.27987382
kml_287,0.289303615,113.9415027,22.28327188
kml_288,0.957383967,114.2748599,22.2856458
kml_289,0.62802599,113.9441815,22.28683881
kml_290,0.285135022,113.9411661,22.28675835
kml_291,0.28157808,113.9394994,22.28764456
kml_292,0.069576895,113.9408244,22.28755287
kml_293,0.145224457,113.9366063,22.28968403
kml_294,0.062316029,113.9378315,22.288625
kml_295,0.001945454,113.9375874,22.28885166
kml_296,0.079851811,113.9375174,22.28921385
kml_297,0.033315453,113.9386324,22.28923045
kml_298,0.005101355,113.9367366,22.29053884
kml_299,0.14773448,113.9398609,22.29055789
kml_300,0.238363575,113.9411077,22.29039758
kml_301,0.036566453,113.937962,22.29121469
kml_302,0.191758924,113.939388,22.29135215
kml_303,0.035131125,113.9387049,22.2919251
kml_304,0.020914202,113.9388045,22.29206075
kml_306,0.019930421,113.9388393,22.29203576
kml_307,0.023250954,113.9389302,22.29219999
kml_308,0.013986308,113.9392851,22.29254246
kml_309,0.075723227,113.9397391,22.292946
kml_310,0.326382673,113.9455104,22.29373177
kml_311,0.094359138,113.9411157,22.29352891
kml_312,0.501413828,113.9495772,22.29421896
kml_313,1.140127313,114.2653744,22.29860189
kml_314,0.084854273,113.9521068,22.2956166
kml_315,0.25762338,114.2600073,22.30175402
kml_316,0.242778795,114.2588877,22.30210947
kml_317,0.118360999,114.2613424,22.30179062
kml_318,0.804219797,114.2642071,22.30435555
kml_319,0.078704165,114.2559624,22.30221447
kml_320,0.428034262,114.2546294,22.30244587
kml_321,0.014899356,114.2613713,22.30233455
kml_322,0.007896468,114.2614976,22.3023586
kml_323,0.12881261,114.261622,22.30295323
kml_324,0.371345987,114.2570534,22.30206027
kml_325,0.031747268,114.2611546,22.30252363
kml_326,0.116773605,114.2578127,22.30339308
kml_327,0.052619238,114.2585251,22.30346033
kml_328,0.055791589,114.2588753,22.3038396
kml_329,0.091054065,114.2616103,22.30413762
kml_330,0.115923558,114.2539077,22.30470181
kml_331,0.107088945,114.2589933,22.30459409
kml_332,0.053175919,114.2609359,22.30472134
kml_333,0.063052195,114.2589249,22.30539967
kml_334,0.066045671,114.2548984,22.30513455
kml_335,0.191756642,114.2616244,22.30603213
kml_336,0.238791032,114.255379,22.30618742
kml_337,0.179439693,114.2562372,22.30560382
kml_338,0.152039583,114.2578689,22.30612537
kml_339,0.074538191,114.2638593,22.30609211
kml_340,0.078141566,114.2639894,22.30657516
kml_341,0.06523802,114.258924,22.30612471
kml_342,0.231326591,114.2601918,22.30695452
kml_343,0.308627633,114.2620758,22.30751545
kml_344,0.210340969,114.2554584,22.30852618
kml_345,0.08482503,114.2565579,22.30753927
kml_346,0.005751394,114.2641894,22.3079795
kml_347,0.008513197,114.2642347,22.30795415
kml_348,0.061100487,114.2642469,22.30827204
kml_349,0.022476006,114.2640202,22.30891432
kml_350,0.074601262,114.2637321,22.30916031
kml_351,0.070842114,114.2562268,22.30920088
kml_352,0.059145189,114.2572514,22.30979324
kml_353,0.013245955,114.256419,22.30951451
kml_354,0.166885614,114.2631356,22.31028649
kml_355,0.556049016,114.2570346,22.31186973
kml_356,0.500383686,114.2644931,22.31086076
kml_357,0.399532621,114.2624769,22.31454695
kml_358,0.398458586,114.2659017,22.3128108
kml_359,0.094950935,114.2646288,22.31358754
kml_360,0.009322416,114.267229,22.31381392
kml_361,0.624646456,114.2691803,22.31639911
kml_362,0.131250633,114.2589895,22.31451888
kml_363,0.164916857,114.2666621,22.31428969
kml_364,0.052993767,114.2587453,22.31507651
kml_365,0.192099571,114.2599723,22.31519257
kml_366,0.394771758,114.2626883,22.3139062
kml_367,0.009410896,114.2609619,22.31509963
kml_368,0.00925571,114.2611895,22.31539244
kml_369,0.151171282,114.2611431,22.31577941
kml_370,0.008682871,114.2577978,22.31638056
kml_371,0.105072711,114.2586601,22.31569758
kml_372,0.04283022,114.2579753,22.31653911
kml_373,0.409319264,114.2568292,22.31823689
kml_374,0.160076252,114.2617591,22.31723856
kml_375,0.005285717,114.2608423,22.31712885
kml_376,0.224469023,114.2598429,22.31694608
kml_377,0.133673611,114.2627749,22.31748136
kml_378,0.054173124,114.2623171,22.31804391
kml_379,0.01108122,114.2682312,22.31791077
kml_380,0.279756869,114.2669598,22.31859995
kml_381,0.122078605,114.2611894,22.3176656
kml_382,0.052699402,114.2685469,22.31828172
kml_383,0.259237377,114.2632113,22.3189773
kml_384,0.078439764,114.2617003,22.31827708
kml_385,0.251806082,114.2621738,22.32039796
kml_387,0.078764691,114.2659469,22.31933774
kml_388,0.087880643,114.2564885,22.32048754
kml_389,0.251602412,114.2554987,22.3217211
kml_390,0.096474248,114.2579719,22.32082483
kml_391,0.051973158,114.2542372,22.32225239
kml_392,0.056099459,114.2600332,22.32288253
kml_393,0.160581018,114.260782,22.32236172
kml_394,0.012141693,114.260465,22.3226605
kml_395,0.010437287,114.2605414,22.32265959
